                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6896,                   2.04,                 1.7667,                0.52035,                0.39264,                0.39622,                0.18175,                 1.8294,                 2.1966,                 1.9869,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.6006,                 1.7457,                 1.7177,                0.44572,                0.40835,                0.36209,                0.15985,                 1.7133,                 2.1137,                 1.8384,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.6439,                 1.7987,                 1.7491,                0.39114,                0.44881,                0.37711,                0.16084,                 1.7421,                 2.3767,                 1.8798,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.6295,                  1.714,                 1.6057,                 0.4267,                 0.3453,                 0.3444,                0.15701,                 1.7611,                 2.4015,                 1.9267,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.6259,                 1.7685,                 1.6643,                0.34027,                0.31759,                 0.2779,                0.12982,                 1.7278,                 2.2212,                 1.8865,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.6144,                 1.8164,                 1.6786,                0.41579,                0.28714,                0.29397,                0.13201,                 1.8687,                 3.1882,                 1.9596,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.6201,                 1.6935,                 1.6234,                0.38156,                0.25782,                0.22149,                0.09758,                 1.9453,                 3.0755,                 1.9967,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.5793,                  1.674,                 1.6534,                0.40165,                0.37538,                0.34277,                0.15721,                 1.6953,                 2.3419,                 1.8449,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.5154,                 1.7035,                 1.6752,                0.57454,                0.44316,                0.44973,                0.20582,                 1.6773,                 1.9718,                 1.8434,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.6077,                 1.7634,                 1.6569,                0.42077,                0.45711,                 0.4054,                0.18089,                 1.7142,                 2.0145,                 1.9011,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.6406,                 1.7951,                 1.7525,                0.47162,                0.46815,                0.45023,                0.20158,                 1.7064,                 1.9766,                 1.8707,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.6066,                 1.6523,                  1.659,                0.42133,                0.54321,                0.43981,                0.19628,                 1.7845,                 2.0562,                  1.893,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.5541,                 1.6316,                 1.6506,                0.51893,                0.47257,                0.43824,                0.20628,                 1.8225,                 2.4076,                 1.9345,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.6274,                 1.6246,                 1.6731,                0.63041,                0.44325,                0.48538,                0.20554,                 1.7565,                 2.0869,                 1.9307,             0.00089134,             0.00089134,             0.00089134
