                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4734,                 1.4968,                 1.3237,                0.49663,                0.44458,                0.41988,                0.18587,                 1.8991,                 2.2039,                 1.6105,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.5404,                 1.7091,                 1.3708,                0.50208,                0.45833,                0.46137,                0.21119,                 1.7404,                 2.2218,                 1.5269,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.4601,                 1.3947,                 1.3271,                0.50025,                0.46616,                0.45123,                0.20855,                  1.909,                 2.0296,                 1.6614,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.4961,                  1.418,                 1.3754,                0.54884,                0.46923,                0.48071,                0.21748,                 1.7681,                 2.1052,                 1.5865,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.4653,                 1.3442,                 1.2746,                0.49022,                0.51612,                 0.4633,                0.21377,                 1.8295,                 2.0484,                 1.5811,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.4337,                 1.3486,                 1.2869,                0.48454,                0.50655,                0.46439,                0.21024,                 1.7923,                 2.0248,                 1.5292,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.4487,                 1.3599,                 1.3099,                0.42806,                0.47549,                0.42364,                0.18386,                  1.744,                 2.2977,                 1.5403,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.4697,                 1.3111,                 1.2848,                0.51286,                0.41437,                0.46782,                0.21073,                 1.7885,                 2.0584,                 1.5732,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.3901,                 1.2473,                 1.2595,                0.52912,                0.47097,                0.46359,                0.20728,                 1.8079,                 2.0414,                 1.5965,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.3712,                 1.3064,                 1.2815,                0.45654,                0.49491,                 0.4189,                0.18506,                 1.8168,                 2.0457,                 1.6368,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.4494,                 1.3311,                 1.2814,                0.39789,                0.47257,                0.38679,                0.16313,                 1.8272,                 2.1401,                 1.6339,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.5095,                 1.4286,                  1.391,                0.39749,                0.47775,                0.39652,                0.17446,                 1.9063,                 2.1686,                 1.6009,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.4198,                  1.281,                 1.2575,                0.39534,                0.50189,                0.40773,                0.19678,                 1.7516,                 2.0493,                 1.5303,             0.00092435,             0.00092435,             0.00092435
                     47,                  1.386,                  1.246,                 1.2651,                0.49663,                 0.4236,                0.43338,                0.19256,                 1.8638,                 2.0672,                 1.6078,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.4782,                 1.2568,                 1.2985,                 0.3936,                0.52489,                 0.4311,                0.18716,                  1.768,                 1.9353,                 1.5683,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.5162,                 1.2331,                 1.3193,                0.41369,                0.42327,                0.40479,                0.17303,                 1.8145,                 2.0369,                 1.6179,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.4429,                 1.2855,                 1.2553,                 0.4699,                 0.4425,                0.42067,                 0.1921,                 1.8526,                 2.1301,                 1.6403,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.3614,                 1.1631,                 1.2431,                0.51132,                0.39876,                0.43396,                0.18332,                 1.7809,                 2.1826,                 1.6347,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.3328,                 1.1791,                 1.2179,                0.45584,                0.50603,                0.41998,                0.19347,                 1.8728,                 2.3895,                 1.6645,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.2923,                  1.132,                 1.2053,                0.45997,                0.45268,                0.41305,                0.19036,                 1.8994,                  2.284,                 1.6645,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.3006,                  1.115,                 1.1988,                0.54908,                0.42946,                0.43867,                0.19536,                  1.842,                 2.1527,                 1.6215,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.3265,                  1.176,                 1.2297,                0.46159,                0.40366,                0.39181,                0.16178,                 1.8119,                 1.8489,                 1.5974,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.3964,                 1.2026,                 1.2766,                0.56052,                0.41122,                0.45696,                 0.1842,                 1.7712,                 1.9094,                 1.6058,             0.00075932,             0.00075932,             0.00075932
                     57,                  1.296,                 1.1071,                 1.1906,                0.48818,                0.47257,                0.46576,                0.19402,                 1.8035,                 2.0163,                 1.5986,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.2639,                 1.0748,                 1.2215,                0.48487,                0.44363,                 0.4321,                0.19538,                 1.9629,                  2.334,                 1.6925,             0.00072631,             0.00072631,             0.00072631
